gate,old_key,rel,qualname,token_line,op,op_ordinal,rationale_sha256
destructive,src/specify_cli/doctrine/sources/git_source.py:98:reset_hard,src/specify_cli/doctrine/sources/git_source.py,GitSource._update,"reset_proc = self . _run_git ( [ , , str ( target_dir ) , , , reset_target ] )",reset_hard,0,a0a6f8da716aa43c75919f27724c6f02ccb2d3c129b1152273da2549567f0770
destructive,src/specify_cli/merge/git_probes.py:232:reset_hard,src/specify_cli/merge/git_probes.py,_refresh_primary_checkout_after_merge,"[ , , , ] ,",reset_hard,0,69245120f2e2a9632e44d824985651bcc814c27cc799812a81a8efe83b41cc5a
destructive,src/specify_cli/git/ref_advance.py:514:reset_hard,src/specify_cli/git/ref_advance.py,advance_branch_ref,"reset = _run_git ( worktree , [ , , branch ] , env = env )",reset_hard,0,64ea831e9618fbfe287b0cb3d6d50153d0f103d1f525cda50511e3efad4a9208
destructive,src/specify_cli/lanes/worktree_allocator.py:1040:reset_hard,src/specify_cli/lanes/worktree_allocator.py,_merge_dependency_lane_tips,"[ , , , pre_loop_ref ] ,",reset_hard,0,b9c21ce6a30f4e08848a62c1e9b9ebac461f32c60eea1dfbb4a5c5cc4da5e7c8
destructive,src/specify_cli/merge/executor.py:3342:reset_hard,src/specify_cli/merge/executor.py,_recover_behind_head_primary_on_resume,"[ , , , ] ,",reset_hard,0,7d9a15f428987cfb581a21921f677b3bebd5ec98352f987a5f3db69590eb0f25
destructive,src/specify_cli/core/vcs/git.py:222:worktree_remove_force,src/specify_cli/core/vcs/git.py,GitVCS.remove_workspace,"[ , , , str ( workspace_path ) , ] ,",worktree_remove_force,0,111521c8e681e14280a38853f6219580d2e335a322114937d1e67474e2fe5212
destructive,src/specify_cli/merge/ordering.py:329:worktree_remove_force,src/specify_cli/merge/ordering.py,_compute_next_mission_number_or_none,"[ , , , str ( tmp_path ) , ] ,",worktree_remove_force,0,93134f909b054fdd3fdc110f8cb73c60153727bd62677f1d9a79b3fd430544ee
destructive,src/specify_cli/merge/ordering.py:667:worktree_remove_force,src/specify_cli/merge/ordering.py,_write_mission_number_to_branch,"[ , , , str ( mission_tmp_path ) , ] ,",worktree_remove_force,0,6184024f174cd33dd76715ed6bb89efc6beea6255fdd47fd033790115b6f51a7
destructive,src/specify_cli/merge/workspace.py:113:worktree_remove_force,src/specify_cli/merge/workspace.py,cleanup_merge_workspace,"[ , , , , str ( workspace_path ) ] ,",worktree_remove_force,0,32c4d3eedccad8a971133b4c47bf2fb01c87cf214e9893f506759f4a7d07e5e4
destructive,src/specify_cli/review/baseline.py:294:worktree_remove_force,src/specify_cli/review/baseline.py,_baseline_worktree,"[ , , , str ( tmp_worktree ) , ] ,",worktree_remove_force,0,2f28339119fffe8a9a0a716167af872962256dff47a0feaaeb6af8e21353730a
destructive,src/specify_cli/cli/commands/mission_type.py:1181:worktree_remove_force,src/specify_cli/cli/commands/mission_type.py,_remove_lane_worktrees,"[ , , str ( repo_root ) , , , str ( entry ) , ] ,",worktree_remove_force,0,c0f08ead4bb3caefefa189f26a83d0a7f51bef341a6ce971e6c18f102bb55cda
destructive,src/specify_cli/git/destructive_guard.py:229:worktree_remove_force,src/specify_cli/git/destructive_guard.py,_remove_worktree_force,"[ , , str ( worktree ) , ] ,",worktree_remove_force,0,955a751f50fa7995657292a6f631392e14c6a6efbc9b3c1f5db563aa539f4133
destructive,src/specify_cli/lanes/merge.py:969:worktree_remove_force,src/specify_cli/lanes/merge.py,preview_mission_target_integration,"[ , , , str ( tmp_path ) , ] ,",worktree_remove_force,0,11bedc11076022d218e52dbb440c7bd6cdf2346c3805910fcdbb2351ef1ff724
destructive,src/specify_cli/lanes/merge.py:1039:worktree_remove_force,src/specify_cli/lanes/merge.py,_merge_branch_into,"[ , , , str ( tmp_path ) , ] ,",worktree_remove_force,0,e0810f0e82cb12c49c709a7e38b6afd1844bd90ae490888aa4386bc5a71f69b2
destructive,src/specify_cli/lanes/worktree_allocator.py:1228:worktree_remove_force,src/specify_cli/lanes/worktree_allocator.py,_remove_lane_worktree,"[ , , , , str ( worktree_path ) ] ,",worktree_remove_force,0,0dbac671213aebd6883d877b0b48d9f5628c3ed14ff2e0fef5337bbbc75936cb
destructive,src/specify_cli/coordination/workspace.py:204:worktree_remove_force,src/specify_cli/coordination/workspace.py,_remove_worktree_registration,"[ , , str ( repo_root ) , _GIT_WORKTREE , , , str ( path ) ] ,",worktree_remove_force,0,6bcc3fc43d8e40e461f60704067124276d224fa4abfa7740523aefbc223b482a
destructive,src/specify_cli/merge/state.py:654:merge_abort,src/specify_cli/merge/state.py,abort_git_merge,"[ , , ] ,",merge_abort,0,ae0c55dc0bd0b533a17604c41814f807919c0678557848f178875580569e7e86
destructive,src/specify_cli/lanes/merge.py:1076:merge_abort,src/specify_cli/lanes/merge.py,_merge_branch_into,"[ , , ] ,",merge_abort,0,4ecb31701b9b830bb5be93e6a5ffeae34683a208b707b45c3cb2e819823d1726
destructive,src/specify_cli/lanes/merge.py:1199:merge_abort,src/specify_cli/lanes/merge.py,_merge_branch_into,"[ , , ] ,",merge_abort,1,11b5e89fced2bc67b63f8cabc9b617a1944cd8864c18e3059d622cbaac464e84
destructive,src/specify_cli/lanes/worktree_allocator.py:858:merge_abort,src/specify_cli/lanes/worktree_allocator.py,_merge_recorded_planning_commit,"[ , , ] ,",merge_abort,0,05aa09f93ac5767cc911767c3129de120fe93406a5f20edd98ea552a1d8beec0
destructive,src/specify_cli/lanes/worktree_allocator.py:1032:merge_abort,src/specify_cli/lanes/worktree_allocator.py,_merge_dependency_lane_tips,"[ , , ] ,",merge_abort,0,24273097b79602b7093642f62bda8e80493cd8637cc2ce614dec489444467450
destructive,src/specify_cli/lanes/auto_rebase.py:739:merge_abort,src/specify_cli/lanes/auto_rebase.py,_abort_with_failure,"_run ( [ , , ] , worktree_path )",merge_abort,0,4b571420c5e2c452ddb11400f0a70896a4dbda79c926a82a26809f79cb565324
mutation,src/specify_cli/cli/commands/agent/config.py:168:Path.rmdir,src/specify_cli/cli/commands/agent/config.py,_remove_project_agent_surface,root . rmdir ( ),Path.rmdir,0,e6ec4a1369ee849f2ac8346e43e55f8fe7f25d703c02e1e5c5afbba20bc1e942
mutation,src/specify_cli/cli/commands/init.py:136:Path.unlink,src/specify_cli/cli/commands/init.py,_finish_command_delivery,( project / _PENDING_COMMAND_SKILLS ) . unlink ( ),Path.unlink,0,1e07bee9249d2114e08a4d125d7980477bb43397db6a92d36a2dd1cf872b6597
mutation,src/specify_cli/cli/commands/init.py:453:shutil.rmtree,src/specify_cli/cli/commands/init.py,_discard_failed_project_scaffold,shutil . rmtree ( project_path ),shutil.rmtree,0,be3452cb4ba612a9a20cf182c40caa9568686e4c365b31edf77273f131dcd41d
mutation,src/specify_cli/cli/commands/init.py:677:shutil.rmtree,src/specify_cli/cli/commands/init.py,_resolve_mission_command_templates_dir,shutil . rmtree ( resolved_dir ),shutil.rmtree,0,df89b6727d33453ae460bf63ca473b38e32fb4d9249e8ce07da3e1da68be5af0
mutation,src/specify_cli/cli/commands/init.py:1622:shutil.rmtree,src/specify_cli/cli/commands/init.py,init,shutil . rmtree ( scratch ),shutil.rmtree,0,6e615964bd7642be8ee1de838b2382ccad3dd9a572f693bc627790a51eadd5fb
mutation,src/specify_cli/upgrade/migrations/m_0_10_0_python_only.py:221:Path.rmdir,src/specify_cli/upgrade/migrations/m_0_10_0_python_only.py,PythonOnlyMigration._remove_bash_scripts,kittify_bash . rmdir ( ),Path.rmdir,0,bee0329245736a0ddacb2b008979adf3458a2b1ce86e9c7debb69fb474550e3a
mutation,src/specify_cli/upgrade/migrations/m_0_10_0_python_only.py:224:Path.rmdir,src/specify_cli/upgrade/migrations/m_0_10_0_python_only.py,PythonOnlyMigration._remove_bash_scripts,kittify_ps . rmdir ( ),Path.rmdir,0,467076ada4a6ae68c40899bdd0ee0e838a8ec53a888443bf89cc8a29f45294fd
mutation,src/specify_cli/upgrade/migrations/m_0_10_0_python_only.py:266:Path.rmdir,src/specify_cli/upgrade/migrations/m_0_10_0_python_only.py,PythonOnlyMigration._cleanup_worktree_bash_scripts,wt_bash . rmdir ( ),Path.rmdir,0,3272b6811fcaefd14ed15f1e340868c3804f9866bd0002791f4f518309a0c1c1
mutation,src/specify_cli/upgrade/migrations/m_0_10_2_update_slash_commands.py:67:Path.rmdir,src/specify_cli/upgrade/migrations/m_0_10_2_update_slash_commands.py,_sweep_legacy_command_tomls,commands_dir . rmdir ( ),Path.rmdir,0,6fe773bfe931b9b67ce54bc0af80249072471d6432a62391a2c3be9e3e9e6d4a
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:106:Path.unlink,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,kittify_memory . unlink ( ),Path.unlink,0,7ba9b873461cf894af251c1003e8b3a35c07c6c5e72cc2b6c6232f458d2b1bd9
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:117:shutil.move,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,"shutil . move ( str ( root_memory ) , str ( kittify_memory ) )",shutil.move,0,7b16ceed302ad80780aacd4f468c5edec7a7ec3b2a4db718428b59b86a50e0c7
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:165:Path.unlink,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,kittify_agents . unlink ( ),Path.unlink,0,7c67d7800f573221db5f834dd9388ec0ee5d0bdba6e25780271d65daa0b3927a
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:201:Path.unlink,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,wt_memory . unlink ( ),Path.unlink,0,0a94f8f5e9d34426bd594339e7873e48f849bfc9cbe1cccb3d02b8c4bc8152f5
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:205:Path.unlink,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,wt_memory . unlink ( ),Path.unlink,1,3fc09d6524cd79966bef06b6d0684c0d5938de72430f8be06979c438c09e98ba
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:227:Path.unlink,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,wt_agents . unlink ( ),Path.unlink,0,73bb95f3d27ba1b31e943f5323dd51bf3d37f940883eb3f89f702f1ff5d30e01
mutation,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py:230:Path.unlink,src/specify_cli/upgrade/migrations/m_0_10_8_fix_memory_structure.py,FixMemoryStructureMigration.apply,wt_agents . unlink ( ),Path.unlink,1,90c8d41e57a9937a0030db887782019ec29534e5d7984f5c705fca871af3a56d
mutation,src/specify_cli/upgrade/migrations/m_0_2_0_specify_to_kittify.py:63:shutil.move,src/specify_cli/upgrade/migrations/m_0_2_0_specify_to_kittify.py,SpecifyToKittifyMigration.apply,"shutil . move ( str ( specify_dir ) , str ( kittify_dir ) )",shutil.move,0,9e9e72dd196b1275090ca5e60eddd0cd948914b2741644f66663813a294352ef
mutation,src/specify_cli/upgrade/migrations/m_0_2_0_specify_to_kittify.py:74:shutil.move,src/specify_cli/upgrade/migrations/m_0_2_0_specify_to_kittify.py,SpecifyToKittifyMigration.apply,"shutil . move ( str ( specs_dir ) , str ( kitty_specs_dir ) )",shutil.move,0,95f898afeb9ae435be09f889887a1bb0e3eeb879f8bfffb9ea49130b546e64f5
mutation,src/specify_cli/upgrade/migrations/m_0_6_5_commands_rename.py:103:shutil.move,src/specify_cli/upgrade/migrations/m_0_6_5_commands_rename.py,CommandsRenameMigration.apply.rename_dir,"shutil . move ( str ( old ) , str ( new ) )",shutil.move,0,aeba1304735eea2db5eaa584d3617786a2bb6d2cae0e66e5b8f6315ac2140c65
mutation,src/specify_cli/upgrade/migrations/m_0_6_5_commands_rename.py:141:shutil.rmtree,src/specify_cli/upgrade/migrations/m_0_6_5_commands_rename.py,CommandsRenameMigration.apply,shutil . rmtree ( wt_templates_commands ),shutil.rmtree,0,de6a2f078d01e72c4f87288186cff8c31d81c8e9dbffdd244387e8d8ba00ed28
mutation,src/specify_cli/upgrade/migrations/m_0_7_2_worktree_commands_dedup.py:69:shutil.rmtree,src/specify_cli/upgrade/migrations/m_0_7_2_worktree_commands_dedup.py,WorktreeCommandsDedupMigration.apply,shutil . rmtree ( wt_commands ),shutil.rmtree,0,82c6f128c1d78294814e76bad2d1ae0b0b1f88862c878186016ec2eb322e7163
mutation,src/specify_cli/upgrade/migrations/m_0_8_0_remove_active_mission.py:53:Path.unlink,src/specify_cli/upgrade/migrations/m_0_8_0_remove_active_mission.py,RemoveActiveMissionMigration.apply,active_mission . unlink ( ),Path.unlink,0,8e93c7ae688d96507bb15041f3dc227545e7826c474f67005d39b5390a19bdee
mutation,src/specify_cli/upgrade/migrations/m_0_8_0_worktree_agents_symlink.py:106:Path.unlink,src/specify_cli/upgrade/migrations/m_0_8_0_worktree_agents_symlink.py,WorktreeAgentsSymlinkMigration.apply,wt_agents . unlink ( ),Path.unlink,0,a9d5d86e6c020aa8cdd8c8377f0100e20babc9f8535708ec458a2bf8ba83f0fb
mutation,src/specify_cli/upgrade/migrations/m_0_9_0_frontmatter_only_lanes.py:251:Path.unlink,src/specify_cli/upgrade/migrations/m_0_9_0_frontmatter_only_lanes.py,FrontmatterOnlyLanesMigration._migrate_feature,md_file . unlink ( ),Path.unlink,0,f539963e943ad617904d976fbd145ccd006a0f7431d7119b8ada247223f352da
mutation,src/specify_cli/upgrade/migrations/m_0_9_0_frontmatter_only_lanes.py:272:shutil.rmtree,src/specify_cli/upgrade/migrations/m_0_9_0_frontmatter_only_lanes.py,FrontmatterOnlyLanesMigration._migrate_feature,shutil . rmtree ( lane_dir ),shutil.rmtree,0,5d5b71a48cd255073a9e9f68d7761e02dbff022eacd55957780ca705f25925e0
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:301:Path.unlink,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._migrate_remaining_files,item . unlink ( ),Path.unlink,0,050c8c1d4cb94ae46abc134c80bb90ec00aa2e96666db6eb9d49dc8a2d6de5cd
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:324:shutil.rmtree,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._migrate_remaining_files,shutil . rmtree ( lane_dir ),shutil.rmtree,0,0c73c151cb415c7f8af7bf165b9cc8e7b6c055c98efd498c47582c7a3243c732
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:422:Path.unlink,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._cleanup_worktrees,commands_dir . unlink ( ),Path.unlink,0,dff325f3466897f41f48ffc0e87a738dbd8616d415027ef1fcf58dbb3d9f166c
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:425:shutil.rmtree,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._cleanup_worktrees,shutil . rmtree ( commands_dir ),shutil.rmtree,0,b1b486c28284b2cde534a6f14d8fd178441bc4482f49f271636d8dd0140b6a82
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:431:Path.rmdir,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._cleanup_worktrees,parent . rmdir ( ),Path.rmdir,0,5dac7896f17d3b3ee2abf39dbb74dd535f140c4caa223171aa632a5cf2490327
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:450:Path.unlink,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._cleanup_worktrees,scripts_dir . unlink ( ),Path.unlink,0,699195b54756b7e93f4d1cff93e662b002378731af6a0d93c1dc0825f30d5d04
mutation,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py:453:shutil.rmtree,src/specify_cli/upgrade/migrations/m_0_9_1_complete_lane_migration.py,CompleteLaneMigration._cleanup_worktrees,shutil . rmtree ( scripts_dir ),shutil.rmtree,0,820485c7ec08a8f7928268398846943f366464f982dc8b72e8821f2535c93703
mutation,src/specify_cli/upgrade/migrations/m_2_0_0_retire_git_hooks.py:127:Path.unlink,src/specify_cli/upgrade/migrations/m_2_0_0_retire_git_hooks.py,RetireGitHooksMigration.apply,hook_path . unlink ( ),Path.unlink,0,3bb695b59be5301d33139f0b741ffbb47f0c60660e2197fdd3567ee8f2e82717
mutation,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py:416:Path.unlink,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py,_cleanup_legacy_worktree_assets,commands_dir . unlink ( ),Path.unlink,0,dff325f3466897f41f48ffc0e87a738dbd8616d415027ef1fcf58dbb3d9f166c
mutation,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py:418:shutil.rmtree,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py,_cleanup_legacy_worktree_assets,shutil . rmtree ( commands_dir ),shutil.rmtree,0,88878baff2fd01d997871d0fe52fe23770935a212ded3949bef4b79e2c159a85
mutation,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py:421:Path.rmdir,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py,_cleanup_legacy_worktree_assets,parent . rmdir ( ),Path.rmdir,0,5dac7896f17d3b3ee2abf39dbb74dd535f140c4caa223171aa632a5cf2490327
mutation,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py:433:Path.unlink,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py,_cleanup_legacy_worktree_assets,scripts_dir . unlink ( ),Path.unlink,0,699195b54756b7e93f4d1cff93e662b002378731af6a0d93c1dc0825f30d5d04
mutation,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py:435:shutil.rmtree,src/specify_cli/upgrade/migrations/m_2_0_6_consistency_sweep.py,_cleanup_legacy_worktree_assets,shutil . rmtree ( scripts_dir ),shutil.rmtree,0,820485c7ec08a8f7928268398846943f366464f982dc8b72e8821f2535c93703
mutation,src/specify_cli/upgrade/migrations/m_2_0_7_fix_stale_overrides.py:93:Path.unlink,src/specify_cli/upgrade/migrations/m_2_0_7_fix_stale_overrides.py,FixStaleOverridesMigration.apply,override_file . unlink ( ),Path.unlink,0,b445969920ddb76191915eacc70e5c8ac0958b47e9ce5feb8de2f4971c14fe4a
mutation,src/specify_cli/upgrade/migrations/m_2_0_7_fix_stale_overrides.py:135:Path.rmdir,src/specify_cli/upgrade/migrations/m_2_0_7_fix_stale_overrides.py,_cleanup_empty_override_dirs,dirpath . rmdir ( ),Path.rmdir,0,9b634e5e613514f136a42e6d584476668e2e11db94513943e36a6bc954a35435
mutation,src/specify_cli/upgrade/migrations/m_2_0_7_fix_stale_overrides.py:139:Path.rmdir,src/specify_cli/upgrade/migrations/m_2_0_7_fix_stale_overrides.py,_cleanup_empty_override_dirs,overrides_dir . rmdir ( ),Path.rmdir,0,b309c77bf6a2ace6a2b698ae5dab394521e03aeb002b6d94d523ea2ca53a55c6
mutation,src/specify_cli/upgrade/migrations/m_2_1_3_restore_prompt_commands.py:350:Path.unlink,src/specify_cli/upgrade/migrations/m_2_1_3_restore_prompt_commands.py,RestorePromptCommandsMigration.apply,thin_shim_file . unlink ( ),Path.unlink,0,7e7e394b9eca8ec4fed801c2850d4d94ccdfc846cfa9588b14fb83b1bc68b395
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:224:shutil.move,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._normalize_layouts,"shutil . move ( str ( memory_constitution ) , str ( charter_dir / ) )",shutil.move,0,f864647c97e2ae52e1c0455d63ba05b1438864691a17a166c759a68281ef42c5
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:240:shutil.move,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._normalize_layouts,"shutil . move ( str ( item ) , str ( dest ) )",shutil.move,0,13f21d898457cd9a6b3e573f519fd0a2feaf8ba592d6680fb9d66685f9d97140
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:269:Path.rmdir,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._normalize_layouts,constitution_dir . rmdir ( ),Path.rmdir,0,e85ff03e7f39ef10af697223ae18df62c9bebf800ba6501ba11427475a9c581e
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:279:shutil.move,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._normalize_layouts,"shutil . move ( str ( constitution_dir ) , str ( charter_dir ) )",shutil.move,0,0c042c01f4c0efd76c9e78ffc76c4768d5bf490ba1fb7ae7bc1f872ecee48e8c
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:293:shutil.move,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._normalize_layouts,"shutil . move ( str ( old_md ) , str ( new_md ) )",shutil.move,0,ce0f226187d164f3fef0fbb297b7d9693bdf37a4fe139345555834cf93048aa0
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:394:shutil.move,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._rename_agent_artifacts,"shutil . move ( str ( old_cmd ) , str ( new_cmd ) )",shutil.move,0,9b4132f7a3b2a994a8440bf8966e96f9594ef51882372150535750819090dd77
mutation,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py:419:shutil.move,src/specify_cli/upgrade/migrations/m_3_1_1_charter_rename.py,CharterRenameMigration._rename_agent_artifacts,"shutil . move ( str ( old_skill ) , str ( new_skill ) )",shutil.move,0,3c494a446c5192263dba8ea0cce21bfa27cf588e89c5d8620bdad389be3e30d0
mutation,src/specify_cli/upgrade/migrations/m_3_1_2_globalize_commands.py:158:Path.unlink,src/specify_cli/upgrade/migrations/m_3_1_2_globalize_commands.py,_SafeGlobalizeCommandsBase.apply,target . unlink ( ),Path.unlink,0,732dbb3ff8349346e3c0bfff2c202e51342512079234cd86aef0d086e3c9da8c
mutation,src/specify_cli/upgrade/migrations/m_3_1_2_globalize_commands.py:171:Path.rmdir,src/specify_cli/upgrade/migrations/m_3_1_2_globalize_commands.py,_SafeGlobalizeCommandsBase.apply,agent_dir . rmdir ( ),Path.rmdir,0,9b7b521c225c07c10ae7e55992f353f810b7232791af832f59b58531e838f55b
mutation,src/specify_cli/upgrade/migrations/m_3_2_0rc35_codex_to_skills.py:208:Path.unlink,src/specify_cli/upgrade/migrations/m_3_2_0rc35_codex_to_skills.py,_move_owned_prompts,p . path . unlink ( ),Path.unlink,0,1b07a45550df090c6267ea1fea2ac35ca421df6ff706a849b190602ef3989962
mutation,src/specify_cli/upgrade/migrations/m_3_2_0rc35_codex_to_skills.py:234:Path.rmdir,src/specify_cli/upgrade/migrations/m_3_2_0rc35_codex_to_skills.py,_try_remove_empty_prompts_dir,prompts_dir . rmdir ( ),Path.rmdir,0,c4c03a51f2ea4e827c89d94450580927a1a9909f9426c7f3b1e23f97238b9358
mutation,src/specify_cli/upgrade/migrations/m_3_2_8_provision_kitty_env.py:452:os.unlink,src/specify_cli/upgrade/migrations/m_3_2_8_provision_kitty_env.py,_atomic_write_claudeignore,os . unlink ( tmp_path ),os.unlink,0,75af05128aadbc9f4b54ae8c7dd720534f349a481e6d8c1e55809321cfe88ef1
mutation,src/specify_cli/upgrade/migrations/m_3_3_0_op_record_schema_v2.py:230:Path.unlink,src/specify_cli/upgrade/migrations/m_3_3_0_op_record_schema_v2.py,_atomic_rewrite,tmp_path . unlink ( missing_ok = True ),Path.unlink,0,b232950e4c6eb16092d69f22fd46268b276faa659d5e65915ed2f869d8ecfcf0
mutation,src/specify_cli/upgrade/migrations/m_3_3_0_op_record_schema_v2.py:266:Path.unlink,src/specify_cli/upgrade/migrations/m_3_3_0_op_record_schema_v2.py,OpRecordSchemaV2Migration.apply,path . unlink ( missing_ok = True ),Path.unlink,0,2676327fe5ee675c163655070e1572224d99f4ff0eac44d6a36e819a6a758261
overwrite,src/specify_cli/intake/brief_writer.py:172:os.replace,src/specify_cli/intake/brief_writer.py,atomic_write_bytes,"os . replace ( tmp , target )",os.replace,0,c49352dd51a5ab06a9d13c82d0e3f4f7dc5c81f0cc5c53cfb279f65ed82908e6
overwrite,src/specify_cli/cli/commands/research.py:94:shutil.copy2,src/specify_cli/cli/commands/research.py,_write_research_asset,"shutil . copy2 ( template_path , dest_path )",shutil.copy2,0,f675af09c496b95ab72f1896b5ff10f758191795070b947ae944184843b5a03b
